"gene","mean_MDA","sd_MDA","mean_Gini","sd_Gini","selection_frequency"
"CASP3",0.0657885833231475,0.00498080268842803,13.1637791209613,1.31100482916418,100
"MMP9",0.0592302138163072,0.00790646351734182,13.048829438293,1.45671630592533,100
"SRC",0.0483574261843983,0.00605098255420032,10.8761049886982,0.545788160416131,100
"EGFR",0.0255744170853561,0.0036211888167117,7.12919868992446,0.674034461175431,100
"ESR1",0.0243988996552649,0.0032826010186702,7.58715006606759,0.669797627059269,100
"BCL2",0.0235392862264791,0.00393247976020878,6.95285810359126,0.624538076557878,100
"CTNNB1",0.0212529039654021,0.00303068888022035,7.10633692397958,0.621695834583169,100
"HSP90AA1",0.0113891273653257,0.00286131542078854,7.14922675695333,0.618113216749957,100
