"Metric","Mean","SD"
"Accuracy",0.896642156862745,0.0638458359611322
"AUC",0.963516865079365,0.0364358212389773
"Sensitivity",0.898214285714286,0.129606175666806
"Specificity",0.898611111111111,0.110734314814182
"PPV",0.898322510822511,0.0995360173936007
"NPV",0.921616161616162,0.0973456516769924
"F1",0.888465536011976,0.0719664454469329
"Best_mtry",1.2,0.421637021355784
