"N_Features","CV_Performance","CV_SD","Metric"
8,0.928663003663004,0.04743311297639,"AUC"
7,0.94047619047619,0.0724138396464074,"AUC"
6,0.951923076923077,0.0407367654569696,"AUC"
5,0.94459706959707,0.0548323783612799,"AUC"
4,0.93058608058608,0.0438481199506555,"AUC"
3,0.949084249084249,0.0265910950417692,"AUC"
2,0.907692307692308,0.0539959231332354,"AUC"
1,0.851694139194139,0.0820348766141243,"AUC"
