"Metric","Mean","SD"
"AUC",0.906598583877996,0.0612036412373951
"Accuracy",0.841789215686275,0.038563622834929
"Sensitivity",0.898333333333333,0.105145401970583
"Specificity",0.793464052287582,0.131663255892763
"F1",0.842340647857889,0.0351126255202426
"N_Features",3,NA
