"Fold","AUC","Accuracy","Sensitivity","Specificity","F1","N_Features","Selected_Features"
1,0.92156862745098,0.8125,1,0.647058823529412,0.833333333333333,3,"CASP3;MMP9;SRC"
2,0.809027777777778,0.823529411764706,0.75,0.888888888888889,0.8,1,"MMP9"
3,0.892592592592593,0.818181818181818,1,0.666666666666667,0.833333333333333,2,"CASP3;SRC"
4,0.941176470588235,0.848484848484849,0.875,0.823529411764706,0.848484848484849,5,"CASP3;SRC;MMP9;BCL2;EGFR"
5,0.968627450980392,0.90625,0.866666666666667,0.941176470588235,0.896551724137931,4,"CASP3;SRC;MMP9;EGFR"
