"Metric","Mean","SD"
"MSE",0.104663751529344,0.0425049157634284
"Accuracy",0.873480392156863,0.0936842383306717
"AUC",0.950669642857143,0.050471409585674
"Sensitivity",0.910714285714286,0.10378330817954
"Specificity",0.841666666666667,0.166563754235325
"PPV",0.856295093795094,0.133356679908589
"NPV",0.920833333333333,0.0886498522068497
"F1",0.874300457024915,0.086580594374377
"Lambda",0.0210921977852366,0.0263296160606907
"N_Features",7,1.15470053837925
