"gene","Freq","FreqPercent","mean_coef","sd_coef"
"BCL2",10,100,-1.32147318356828,0.687774000111814
"CASP3",10,100,2.65059176912644,0.806592354893063
"HSP90AA1",10,100,0.533718933202571,0.345675018958297
"MMP9",10,100,0.786544310389844,0.257202440646649
"SRC",10,100,2.65612704017245,0.971620567479809
"EGFR",9,90,0.628895683227787,0.436367247870043
"CTNNB1",6,60,0.289125948445102,0.260080700374585
"ESR1",5,50,-0.0700781866232747,0.22561692831333
